# run_name: boltzmann_run1_400
# timestamp: 20260809_235745
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
110,0.1119,-6.1533,0.0,150,0.5383,159.52,False,False,False,True
111,-13.117,-7.0751,0.0,150,0.5333,161.23,False,False,False,True
112,-3.6359,-5.827,0.0,150,0.5283,162.94,False,False,False,True
113,-4.2604,-5.848,0.0,150,0.5233,164.66,False,False,False,True
114,-13.9713,-7.282,0.0,150,0.5183,166.38,False,False,False,True
115,-18.2188,-8.2211,0.0,150,0.5133,168.09,False,False,False,True
116,-15.0347,-9.3913,0.0,150,0.5083,169.8,False,False,False,True
117,-8.0639,-9.6146,0.0,150,0.5033,171.52,False,False,False,True
118,-3.6547,-8.871,0.0,150,0.4983,173.23,False,False,False,True
119,-10.0006,-8.9845,0.0,150,0.4933,174.95,False,False,False,True
120,-5.1595,-9.5117,0.0,150,0.4883,176.66,False,False,False,True
121,-9.9103,-9.191,0.0,150,0.4833,178.38,False,False,False,True
122,-2.531,-9.0805,0.0,150,0.4783,180.09,False,False,False,True
123,-3.8774,-9.0422,0.0,150,0.4733,181.81,False,False,False,True
124,-0.8744,-7.7325,0.0,150,0.4683,183.52,False,False,False,True
125,-0.0261,-5.9133,0.0,150,0.4633,185.24,False,False,False,True
126,-4.416,-4.8514,0.0,150,0.4583,186.95,False,False,False,True
127,-0.0027,-4.0453,0.0,150,0.4533,188.67,False,False,False,True
128,-7.6492,-4.4447,0.0,150,0.4483,190.38,False,False,False,True
129,-9.2773,-4.3724,0.0,150,0.4433,192.09,False,False,False,True
130,-0.0314,-3.8596,0.0,44,0.4418,192.63,False,False,True,False
131,-8.5526,-3.7238,0.0,150,0.4368,194.34,False,False,False,True
132,-2.1645,-3.6872,0.0,150,0.4318,196.06,False,False,False,True
133,0.8111,-3.2183,0.0,150,0.4268,197.77,False,False,False,True
134,6.1573,-2.5151,10.0,150,0.4218,199.49,True,False,False,True
135,-5.877,-3.1002,10.0,150,0.4168,201.2,False,False,False,True
136,-4.0436,-3.063,10.0,150,0.4118,202.92,False,False,False,True
137,-4.699,-3.5326,10.0,150,0.4068,204.63,False,False,False,True
138,-5.7648,-3.3442,10.0,150,0.4018,206.35,False,False,False,True
139,1.9026,-2.2262,10.0,150,0.3968,208.06,False,False,False,True
140,-12.3195,-3.455,10.0,150,0.3918,209.78,False,False,False,True
141,-8.3712,-3.4369,10.0,150,0.3868,211.49,False,False,False,True
142,8.6884,-2.3516,20.0,123,0.3827,212.91,True,False,False,False
143,-8.0548,-3.2382,20.0,150,0.3777,214.62,False,False,False,True
