# run_name: d3qn_random_start_goal_nodepth_200
# timestamp: 20260810_221150
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 15
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
161,13.4622,10.8089,80.0,90,0.3917,53.63,True,False,False,False
162,11.7186,10.6176,80.0,51,0.39,53.79,True,False,False,False
163,11.6776,11.6561,90.0,80,0.3873,54.02,True,False,False,False
164,13.8271,12.9342,100.0,74,0.3849,54.24,True,False,False,False
165,6.8485,12.3554,90.0,150,0.3799,54.68,False,False,False,True
166,12.8359,12.1796,90.0,95,0.3767,54.96,True,False,False,False
167,9.5229,11.8983,90.0,135,0.3722,55.35,True,False,False,False
168,12.6578,12.0568,90.0,92,0.3691,55.63,True,False,False,False
169,12.6396,11.8613,90.0,49,0.3675,55.77,True,False,False,False
170,12.1811,11.7371,90.0,86,0.3646,56.03,True,False,False,False
171,13.473,11.7382,90.0,77,0.3621,56.26,True,False,False,False
172,5.1709,11.0834,80.0,150,0.3571,56.69,False,False,False,True
173,13.5719,11.2729,80.0,57,0.3552,56.87,True,False,False,False
174,8.4066,10.7308,70.0,150,0.3502,57.31,False,False,False,True
175,10.0388,11.0498,80.0,82,0.3474,57.55,True,False,False,False
176,12.2204,10.9883,80.0,64,0.3453,57.74,True,False,False,False
177,12.1788,11.2539,80.0,90,0.3423,58.01,True,False,False,False
178,11.2257,11.1107,80.0,96,0.3391,58.3,True,False,False,False
179,13.3521,11.1819,80.0,59,0.3371,58.47,True,False,False,False
180,12.4428,11.2081,80.0,61,0.3351,58.65,True,False,False,False
181,-1.5295,9.7078,70.0,11,0.3347,58.69,False,False,True,False
182,13.0504,10.4958,80.0,62,0.3327,58.88,True,False,False,False
183,14.664,10.605,80.0,42,0.3313,59.0,True,False,False,False
184,11.9972,10.9641,90.0,123,0.3272,59.37,True,False,False,False
185,17.1636,11.6765,90.0,64,0.325,59.56,True,False,False,False
186,9.6426,11.4188,90.0,128,0.3208,59.93,True,False,False,False
187,4.9713,10.698,80.0,150,0.3158,60.37,False,False,False,True
188,14.7645,11.0519,80.0,35,0.3146,60.48,True,False,False,False
189,13.024,11.0191,80.0,41,0.3132,60.61,True,False,False,False
190,13.6982,11.1446,80.0,40,0.3119,60.73,True,False,False,False
191,4.8316,11.7807,80.0,150,0.3069,61.17,False,False,False,True
192,6.6396,11.1397,70.0,150,0.3019,61.61,False,False,False,True
193,14.7352,11.1468,70.0,54,0.3001,61.77,True,False,False,False
194,13.8885,11.3359,70.0,54,0.2983,61.93,True,False,False,False
195,11.5298,10.7725,70.0,60,0.2963,62.11,True,False,False,False
196,13.9929,11.2076,70.0,82,0.2936,62.35,True,False,False,False
197,11.0545,11.8159,80.0,108,0.29,62.67,True,False,False,False
198,13.7381,11.7132,80.0,80,0.2873,62.91,True,False,False,False
199,14.5305,11.8639,80.0,79,0.2847,63.14,True,False,False,False
200,10.4653,11.5406,80.0,61,0.2826,63.32,True,False,False,False
# [23:15:12] Training complete. 200 episodes in 63.3 min. Final avg reward (last 10): 11.54. Final success rate (last 10): 80.0%.
 
